stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
1112,,Military Ave & Aurora Dr NE,,41.300743,-96.029695,,,,
1113,,48th & NW Radial Hwy NE,,41.28155,-95.985251,,,,
1119,,67th Ave & Military Ave NE,,41.293852,-96.016575,,,,
1120,,65th & Maple SW,,41.284919,-96.012083,,,,
1121,,42nd & Cuming SW,,41.26785,-95.976348,,,,
1122,,106th & Fort NE,,41.306745,-96.078711,,,,
1123,,105th & Fort SW,,41.306513,-96.07773,,,,
1130,,91st  Ave & Fort SW,,41.306599,-96.054935,,,,
1132,,70th Ave & Military Ave NE,,41.296392,-96.021395,,,,
1144,,102nd Ave & 102nd NW,,41.27576,-96.07196,,,,
1145,,50th & Center NE,,41.241601,-95.99012,,,,
1147,,42nd & Mason SE,,41.249852,-95.975718,,,,
1149,,50th & Center SW,,41.241429,-95.990323,,,,
1151,,42nd & Pacific SE,,41.248717,-95.975667,,,,
1153,,98th Plz & Q St SW,,41.205253,-96.065947,,,,
1159,,51st (Saddle Creek) & Center NE,,41.24139,-95.992279,,,,
1162,,St. Gerald's Park & Ride Lot NW,,41.205466,-96.063098,,,,
1164,,84th & Papillion Pkwy NW,,41.22646,-96.043237,,,,
1167,,96th & Park Dr NE,,41.203254,-96.061861,,,,
1172,,42nd & William NW,,41.246097,-95.975888,,,,
1173,,96th & Q St SE,,41.205235,-96.061881,,,,
1211,,55th & Center NE,,41.239175,-95.997879,,,,
1214,,42nd & Woolworth Ave NE,,41.245359,-95.975635,,,,
1215,,93rd & Q St NE,,41.205409,-96.056135,,,,
1217,,84th & Spring NW,,41.231467,-96.043206,,,,
1218,,42nd & Pine SW,,41.244314,-95.975871,,,,
1219,,91st & Q St NE,,41.205403,-96.054573,,,,
1220,,56th & Center NE,,41.238056,-95.999797,,,,
1221,,84th & Tangier Way NW,,41.232538,-96.043186,,,,
1224,,60th & Center SW,,41.237786,-96.004842,,,,
1228,,89th St & Q St SW,,41.205248,-96.051365,,,,
1229,,61st Ave & Center NE,,41.237944,-96.007073,,,,
1230,,Ridgewood Ave & W Center NE,,41.234361,-96.041356,,,,
1232,,87th St & Q St SE,,41.205273,-96.048122,,,,
1233,,61st Ave & Center SW,,41.237845,-96.00718,,,,
1234,,80th Ave & W Center NE,,41.234366,-96.03872,,,,
1236,,86th Pkwy & Q St NE,,41.205395,-96.04544,,,,
1238,,80th & W Center NE,,41.234362,-96.036203,,,,
1239,,44th & Center SW,,41.241465,-95.97831,,,,
1243,,72nd & F St NW,,41.219771,-96.024001,,,,
1249,,Fontenelle Blvd & Browne NW,,41.305034,-95.978124,,,,
1252,,67th & L St NE,,41.212547,-96.015464,,,,
1253,,62nd & L St SW,,41.212432,-96.009513,,,,
1266,,Washington & Centennial Rd SE,,41.168798,-96.042915,,,,
1267,,Washington & Centennial Rd NW,,41.168969,-96.043142,,,,
1273,,84th & Brentwood Dr NW,,41.179954,-96.043145,,,,
1275,,84th & Summer Dr SE,,41.183277,-96.042918,,,,
1279,,24th & Redick Ave SE,,41.317518,-95.946817,,,,
