timetable_id,route_id,direction_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday,route_label,service_notes,direction_label,orientation
31,1247,1,20140101,20170101,0,0,0,0,0,1,0,Leeds Avenue,Year-round calendar,Inbound,horizontal
32,1247,1,20140101,20170101,1,1,1,1,1,0,0,Leeds Avenue,Year-round calendar,Inbound,horizontal
33,1254,0,20140817,20170101,0,0,0,0,0,0,1,Lockwood-Calhoun - DASH,"Effective beginning August 17, 2014",MultiDirection,horizontal
34,1254,0,20140817,20170101,0,0,0,0,0,1,0,Lockwood-Calhoun - DASH,"Effective beginning August 17, 2014",MultiDirection,horizontal
35,1254,0,20140817,20170101,1,1,1,1,1,0,0,Lockwood-Calhoun - DASH,"Effective beginning August 17, 2014",MultiDirection,horizontal
36,1251,0,20140101,20170101,1,1,1,1,1,0,0,Medical Shuttle,Year-round calendar,MultiDirection,horizontal
37,1253,0,20140817,20170101,0,0,0,0,0,1,1,Meeting-King - DASH,"Effective beginning August 17, 2014",MultiDirection,horizontal
38,1253,0,20140817,20170101,1,1,1,1,1,0,0,Meeting-King - DASH,"Effective beginning August 17, 2014",MultiDirection,horizontal
39,1248,0,20140101,20170101,0,0,0,0,0,1,0,Montague Ave,Year-round calendar,Outbound,horizontal
40,1248,0,20140101,20170101,1,1,1,1,1,0,0,Montague Ave,Year-round calendar,Outbound,horizontal
41,1248,1,20140101,20170101,0,0,0,0,0,1,0,Montague Ave,Year-round calendar,Inbound,horizontal
42,1248,1,20140101,20170101,1,1,1,1,1,0,0,Montague Ave,Year-round calendar,Inbound,horizontal
43,1244,0,20140101,20170101,0,0,0,0,0,0,1,Mt. Pleasant,Year-round calendar,Outbound,horizontal
44,1244,0,20140101,20170101,0,0,0,0,0,1,0,Mt. Pleasant,Year-round calendar,Outbound,horizontal
45,1244,0,20140101,20170101,1,1,1,1,1,0,0,Mt. Pleasant,Year-round calendar,Outbound,horizontal
46,1244,1,20140101,20170101,0,0,0,0,0,0,1,Mt. Pleasant,Year-round calendar,Inbound,horizontal
47,1244,1,20140101,20170101,0,0,0,0,0,1,0,Mt. Pleasant,Year-round calendar,Inbound,horizontal
48,1244,1,20140101,20170101,1,1,1,1,1,0,0,Mt. Pleasant,Year-round calendar,Inbound,horizontal
49,1257,0,20150104,20170101,1,1,1,1,1,0,0,Mt. Pleasant - West Ashley,Effective beginning 1-4-15,Outbound,horizontal
