stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type
c0783471-b363-4285-979e-209d33f7630e,"FtB02900HE","Fort Bragg Rd/Hobson St","""B and B Lanes""",35.07236592,-78.92633314,0
6257a125-74da-47cf-bd76-837dc1f89420,"FTCC2","FTCC","""""",35.06806955,-78.92707539,0
6e8ec68c-5726-4cec-a446-376e5e684f4a,"Dev00300AS","Denvers St/Hull Rd","""Health/Science Building""",35.06689465,-78.92393635,0
87d6b204-ed2f-49e3-9026-4b2a49c1450c,"FtB02600BW","Fort Bragg Rd/Devers St","""Honeycutt Rec Ctr""",35.06925288,-78.92123853,0
810a98bb-bd9e-405f-a568-6b169f92ef8e,"FtB02400CW","Fort Bragg Rd/Coverly Sq","""""",35.06708965,-78.91737964,0
2321dd79-e03b-442d-a7c6-14e521aec4e4,"FtB02100DW","Fort Bragg Rd/Woodrow St","""Terry Sanford School""",35.06505944,-78.91387039,0
6a0c6673-7cf7-46e1-9679-7069a85692e8,"FtB01900EW","Fort Bragg Rd/Woodrow St","""""",35.06384025,-78.91174005,0
b7a28058-fffd-47bb-b9b3-dffb2e80c5f4,"FtB01700FW","Fort Bragg Rd/Bethune St","""""",35.06234053,-78.90914108,0
8adca8a3-5c27-4606-ac78-72e0b139473e,"FtB01600GW","Fort Bragg Rd/Sutton St","""""",35.06155028,-78.9077656,0
79251c63-1bf5-44a1-9987-45330251ed2a,"FtB01500HW","Fort Bragg R/Pate Dr","""""",35.06012666,-78.90526991,0
ddd19394-64e2-4241-b946-07f49a7e8f43,"Mor01400AW","Morganton Rd/Dobbin Ave","""""",35.05779559,-78.90379428,0
8fd94e92-811d-447c-a67d-e3e4524bd356,"Mor01300BW","Hay St/Broadfoot Ave","""""",35.057003,-78.900751,0
0d4aa8ae-1e1e-4351-b78e-516c97d5f43d,"Hay00900AS","Hay St/Davis St","""Bench""",35.05611884,-78.89602361,0
7e6ebf3f-2666-4b13-91b8-4469a5604219,"Hay00800BS","Hay St/Mental Health","""""",35.05588398,-78.89177643,0
251c1aca-83e9-490c-b837-5401e32674af,"Fra00500AW","Franklin St/Winslow St","""Medical Arts Building""",35.05402959,-78.88657842,0
1f0e8cfc-9f11-4cf2-9cff-5ae32ccd4b2c,"Fra00400BW","Franklin S/Ray Ave","""RR Crossing""",35.05281521,-78.88318142,0
111b3e85-b680-46fb-811b-6fd5120e7c04,"Rad06900AN","Radnor St/71st School Rd","""Cook Out""",35.05981291,-79.01262205,0
d37ffb39-61ef-489c-bd99-464650d7520b,"Cli06800JW","Cliffdale Rd/Cliffdale Ct","""Cliffdale Library""",35.059479,-79.009788,0
e4c114cb-7868-4195-926d-e3e37b3f3527,"Cli06600KW","Cliffdale Rd/Bunce Rd","""Kangaroo""",35.05828,-79.003599,0
662ac78d-4d51-4590-87b3-babeffe9bc27,"Cli06500LW","Cliffdale Rd/Bunce Rd","""""",35.05800073,-79.00212561,0
5958eb1b-2a8c-49eb-94d3-6ea87c4ed567,"Cli06500MS","Cliffdale Rd/Regency Dr","""""",35.057838,-78.998792,0
bcadde12-867c-42e6-b33b-616317eb069a,"Pri00500AE","Pritchett Rd/Cliffdale Rd","""""",35.05738885,-78.99292679,0
550d738a-d335-481e-8e5e-25a795e8e0c2,"Pri00600BE","Pritchett Rd/Cross Pointe Dr","""""",35.05503346,-78.99305532,0
18cae753-f296-4f45-9d81-f382044b53ee,"Tim06200AS","Timberland Dr/Pritchett Rd","""""",35.05246995,-78.99195385,0
8c201646-c838-4763-954c-c07656c1b8b5,"Tim06200BS","Timberland Dr/Wynnwood Dr","""""",35.05240501,-78.98987596,0
58e6fe70-438a-4e0c-9460-e8f9c92fac9c,"Tim06100CS","Timberland Dr/Glenlea Cir","""""",35.05234285,-78.98785156,0
9370d0b5-af00-40e9-a723-ca7dc70b30be,"Tim06100DW","Timberland Dr/Wayside Rd","""""",35.05137552,-78.98408289,0
c433f16b-02f7-4fa1-ba43-4243af2509c0,"Lou00900AW","Louise Cir/Dandy Loop Rd","""""",35.05004388,-78.98426456,0
02aa01ea-c703-410c-9795-6c84be9db585,"Lou06100BW","Louise St/Louise Cir","""""",35.04755418,-78.98131673,0
acef7d17-4822-4aea-ac8e-ddbfd6fb4ee5,"Ski02100AS","Skibo Rd/Louise St","""""",35.048132,-78.975486,0
0354b24d-fe8e-4230-b40b-9333c3d7607a,"Ski02100BS","Skibo Rd/Richwood Ct","""""",35.051234,-78.974102,0
1ef8504f-81e7-4bd4-8389-a70bbf7a008d,"Ski02070CS","Skibo Rd/Fayetteville Pavilion","""Skibo Rd/Century Oaks Dr """,35.053973,-78.972834,0
79ebe2bd-ddd5-4bd0-b1cb-5208c96a59fe,"Ski02020DS","Skibo Rd/Leisure Ln","""""",35.056862,-78.971588,0
a2d64844-fefb-4064-b779-9e9edf1757d0,"Ski01900ES","Skibo Rd/Cliffdale Rd","""""",35.059841,-78.969567,0
42a7babc-09d9-4053-9e3f-27ab9021e0e2,"Ski02060FS","Skibo Rd/Red Tip Rd","""""",35.062626,-78.968225,0
400cda02-845b-4bbf-bd4a-41deab22d2b1,"Ski01900GS","Skibo Rd/Campground Rd","""K Mart""",35.065764,-78.967159,0
c041e828-7f91-418c-be68-40034fd5828f,"Ski01860HS","Skibo Rd/Smokey Bones","""""",35.071774,-78.965075,0
6b29bbb4-add6-47db-a4d3-a76d2edaa21b,"Rae05200EN","Raeford Rd/Sandlewood Rd","""""",35.04262593,-78.96567333,0
44835c67-2f36-42c9-8cee-b7e58b4e5ebb,"Rae05300FN","Raeford Rd/Pompton Dr","""""",35.04293943,-78.96920577,0
866e2ac9-3d85-43a1-913d-91d8308afbdc,"Rae05400GN","Lewis Chapel Church/Raeford Rd","""""",35.04392736,-78.97343266,0
58d3e98d-2837-4223-bf7e-6d5b45bc0384,"Rae05800HN","Raeford Rd/Skibo Rd","""Sunoco/Family Dollar""",35.04438798,-78.97828871,0
75e90ba0-32db-4d76-a0b0-800e8b9d6af6,"Rae06200IN","Raeford Rd/Time Warner Cable","""""",35.04416397,-78.98344162,0
4385bbc2-a766-4b0f-8cc0-338c02159121,"Rae06300JN","Raeford Rd/Little Dr","""Falcon Village""",35.0430757,-78.98818718,0
77bf5442-96e2-42c0-b1f7-f4e88faeb708,"SyCCtr","Sykes Call Center","""""",35.040019,-79.000722,0
9fe7db02-611e-4d30-bbd9-eacb9e828612,"SykCCtr2","Sykes Call Center Lot","""""",35.040882,-78.999053,0
2b52cefa-eaa9-4dee-b6cb-b254e7549fc3,"SBr00800AN","Strickland Bridge Rd/Adj Applecross Ave","""""",35.039122,-78.99741,0
9bc22c60-6e45-4816-a84b-78326221108c,"SBg01500BN","Strickland Bridge Rd /Adj Childers Dr","""""",35.024589,-79.002462,0
340f4f2e-8498-400e-adbb-9e805931475e,"SBg02100CN","Strickland Bridge Rd/Adj Food Lion","""""",35.014955,-79.009176,0
e0eb53fb-4c17-454d-b51a-62bafa5ce00c,"WRBL","West Regional Branch Library","""""",35.012391,-79.044012,0
cbafe9ab-50c0-4b95-9be2-a2735f2ef204,"SP Mall","Southpost Mall","""""",35.103999,-79.014967,0
cc54f219-b3d7-41ea-b58d-c77def324e68,"Dandridge","505 Dandridge Dr","""""",35.0981353281817,-79.0106322771688,0
8af7fa6f-792d-4ddf-869c-e4c95ee2ae42,"SFe05000AN","Ponderosa Shopping Center","""""",35.08838595,-78.98509552,0
0d5eff6c-1326-41f1-812c-e4a2f2b1de7a,"Bon00500CS","Bonanza D/Santa Fe Dr","""""",35.08950456,-78.98562565,0
59cff50e-2e94-4f3c-9ea4-dbb935180a6f,"Yad05400AW","Yadkin Rd/Pima Dr","""""",35.08688881,-78.97879278,0
56ddff48-91a0-4452-875f-5348c9cd6592,"Yad05400BW","Yadkin Rd/Brookfield Rd","""""",35.08565012,-78.97699089,0
ec76072d-8172-4f59-b0a8-d2d236d916c8,"Yad05200CW","Yadkin Rd/Nathan Dr","""""",35.08363681,-78.97169645,0
f6c61d1e-0748-4aa0-a73d-dd12c598d6ad,"LVD04800AW","Lake Valley Dr/Yadkin Rd","""Embasy Suites""",35.08053269,-78.96742696,0
ce3c79c3-beee-45ab-be62-4b536ecbab4d,"LVD04600BW","Lake Valley Dr/Skibo Rd","""Cross Point Centre""",35.07624341,-78.96396163,0
3e4d180b-b02a-4715-94d1-23cb55bd6e9d,"Mor06000AS","Morganton Rd/Murray Fork Shopping Ctr","""""",35.0794577645932,-78.9912385637306,0
c25de484-6be4-4098-9e8b-2c8832914f8f,"Rei00100CW","S Reilly Rd/Morganton Rd","""""",35.08152749,-79.01022699,0
a9aa7b50-1047-4249-b7af-a63080c5d2bd,"Rei00100DW","S Reilly Rd/Lexi Ln","""""",35.07718241,-79.01044924,0
679fd632-81af-429e-a133-bc59e0a2234f,"Rei00400EW","S Reilly Rd/Glen Allen St","""Glen Reilly Village""",35.06645919,-79.0134441,0
8c4c8617-ca21-46e6-99ef-c3afa270fd62,"Cli07000CN","Cliffdale Rd/S Reilly Rd","""Glen Reilly Village""",35.0620518,-79.01646347,0
3ef88fe3-1b65-4cc9-b68e-9b21a6b825e7,"Cli07900DN","Cliffdale Rd/Town Creek Dr","""Bone Creek""",35.06262293,-79.04093899,0
